participant_alias,fold,support_seed,condition,shots,query_clip_count,query_positive_count,query_negative_count,adaptation_recipe,precision,recall,false_positive_rate,f1,tp,tn,fp,fn
P013,4,20260621,5,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260622,0,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260622,5,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260623,0,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260623,5,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260624,0,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P013,4,20260624,5,5,22,7,15,no_adaptation_zero_shot_fallback,1.0,1.0,0.0,1.0,7,15,0,0
P014,1,20260620,0,3,97,61,36,no_adaptation_zero_shot_fallback,1.0,0.8852459016393442,0.0,0.9391304347826086,54,36,0,7
P014,1,20260620,3,3,97,61,36,no_adaptation_zero_shot_fallback,1.0,0.8852459016393442,0.0,0.9391304347826086,54,36,0,7
P014,1,20260621,0,3,97,61,36,no_adaptation_zero_shot_fallback,1.0,0.9016393442622951,0.0,0.9482758620689655,55,36,0,6
