change_label,changed_stage,delta_f1,delta_fpr,delta_recall,doctor_alias,f1,final_false_accepts,fpr,fpr_unstable,method,negative_query_count,positive_query_count,precision,recall,safety_pass,shot,stage1_misses,stage2_rejects,support_seed,zero_f1,zero_fpr,zero_precision,zero_recall
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,True,zero_shot,3,2,,0.0,True,3,2,0,20260622,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_bias_only,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_head,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage1_stage2_combined,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_cosine_prototype,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_bias_only,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_head,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_positive_bias,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,True,zero_shot,3,2,,0.0,True,3,2,0,20260623,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_bias_only,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D003,,0,0.0,True,stage1_finetune_head,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage1+stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage1_stage2_combined,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_cosine_prototype,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_bias_only,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_finetune_head,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage2,0.0,0.0,0.0,D003,,0,0.0,True,stage2_positive_bias,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,none,0.0,0.0,0.0,D003,,0,0.0,True,zero_shot,3,2,,0.0,True,3,2,0,20260624,,0.0,,0.0
unchanged,stage1,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,stage1_finetune_bias_only,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,stage1,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,stage1_finetune_head,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,stage1+stage2,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,stage1_stage2_combined,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
improved,stage2,0.11111111111111105,0.0,0.19999999999999996,D004,1.0,0,0.0,True,stage2_cosine_prototype,3,10,1.0,1.0,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,stage2,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,stage2_finetune_bias_only,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,stage2,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,stage2_finetune_head,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
improved,stage2,0.11111111111111105,0.0,0.19999999999999996,D004,1.0,0,0.0,True,stage2_positive_bias,3,10,1.0,1.0,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,none,0.0,0.0,0.0,D004,0.888888888888889,0,0.0,True,zero_shot,3,10,1.0,0.8,True,3,0,2,20260620,0.888888888888889,0.0,1.0,0.8
unchanged,stage1,0.0,0.0,0.0,D004,0.8235294117647058,0,0.0,True,stage1_finetune_bias_only,3,10,1.0,0.7,True,3,1,2,20260621,0.8235294117647058,0.0,1.0,0.7
unchanged,stage1,0.0,0.0,0.0,D004,0.8235294117647058,0,0.0,True,stage1_finetune_head,3,10,1.0,0.7,True,3,1,2,20260621,0.8235294117647058,0.0,1.0,0.7
unchanged,stage1+stage2,0.0,0.0,0.0,D004,0.8235294117647058,0,0.0,True,stage1_stage2_combined,3,10,1.0,0.7,True,3,1,2,20260621,0.8235294117647058,0.0,1.0,0.7
