dev_delta_f1,dev_f1,dev_fpr,dev_recall,doctor_alias,method,recipe,safe,selected,shot,support_based
0.0,0.9276187088742663,0.0,0.8650082918739636,D003,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.037781562496154275,0.9654002713704206,0.011725293132328308,0.9439469320066335,D003,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038129112573370705,0.928,0.0,0.8656716417910447,D003,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03559771542000223,0.9632164242942686,0.005025125628140704,0.9336650082918739,D003,positive_bias,"{""bias"": 0.1, ""method"": ""positive_bias""}",True,False,3,True
0.038600948229790544,0.9662196571040569,0.010050251256281407,0.9439469320066335,D003,positive_bias,"{""bias"": 0.25, ""method"": ""positive_bias""}",True,False,3,True
0.04035282137484397,0.9679715302491103,0.010050251256281407,0.9472636815920398,D003,positive_bias,"{""bias"": 0.5, ""method"": ""positive_bias""}",True,False,3,True
0.042323878089597256,0.9699425869638636,0.011725293132328308,0.9525704809286899,D003,positive_bias,"{""bias"": 1.0, ""method"": ""positive_bias""}",True,True,3,True
0.03637585634312501,0.9639945652173914,0.011725293132328308,0.9412935323383085,D003,target_prototype_fusion,"{""cosine_threshold"": 0.7, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.03531906739230972,0.9629377762665761,0.011725293132328308,0.9393034825870646,D003,target_prototype_fusion,"{""cosine_threshold"": 0.75, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.0339066571454818,0.9615253660197481,0.011725293132328308,0.9366500829187396,D003,target_prototype_fusion,"{""cosine_threshold"": 0.8, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.03454898028728781,0.9621676891615542,0.010050251256281407,0.936318407960199,D003,target_prototype_fusion,"{""cosine_threshold"": 0.85, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.034951791894832884,0.9625705007690992,0.006700167504187605,0.9339966832504146,D003,target_prototype_fusion,"{""cosine_threshold"": 0.9, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,no_adaptation,"{""method"": ""no_adaptation""}",True,False,3,False
0.004237446838898706,0.9315855629376908,0.0,0.8719327731092437,D004,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.033623262912482965,0.960971379011275,0.006700167504187605,0.9310924369747899,D004,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03579346157947183,0.9631415776782639,0.011725293132328308,0.9398319327731093,D004,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038661087904179325,0.9277347269778339,0.0,0.8652100840336134,D004,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.004237446838898706,0.9315855629376908,0.0,0.8719327731092437,D004,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.033623262912482965,0.960971379011275,0.006700167504187605,0.9310924369747899,D004,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03579346157947183,0.9631415776782639,0.011725293132328308,0.9398319327731093,D004,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.1, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038661087904179325,0.9277347269778339,0.0,0.8652100840336134,D004,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.1, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.004621009731400005,0.9319691258301921,0.0,0.8726050420168068,D004,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03398359883098068,0.9613317149297728,0.006700167504187605,0.9317647058823529,D004,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03615050649073959,0.9634986225895317,0.011725293132328308,0.9405042016806723,D004,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.2, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038661087904179325,0.9277347269778339,0.0,0.8652100840336134,D004,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.2, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.0050042973230634,0.9323524134218555,0.0,0.8732773109243698,D004,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03434368490658146,0.9616918010053735,0.006700167504187605,0.9324369747899159,D004,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.0,0.9273481160987921,0.0,0.8645378151260504,D004,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.0365073055879549,0.963855421686747,0.011725293132328308,0.9411764705882353,D004,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""target_threshold_calibration""}",True,False,3,True
0.00038661087904179325,0.9277347269778339,0.0,0.8652100840336134,D004,stage1_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.3, ""method"": ""stage1_threshold_calibration""}",True,False,3,True
0.03427716606825082,0.9616252821670429,0.005025125628140704,0.9307563025210084,D004,positive_bias,"{""bias"": 0.1, ""method"": ""positive_bias""}",True,False,3,True
0.03733749974961442,0.9646856158484065,0.010050251256281407,0.9411764705882353,D004,positive_bias,"{""bias"": 0.25, ""method"": ""positive_bias""}",True,False,3,True
0.039117920014707486,0.9664660361134996,0.010050251256281407,0.9445378151260504,D004,positive_bias,"{""bias"": 0.5, ""method"": ""positive_bias""}",True,False,3,True
0.041123439761386216,0.9684715558601783,0.011725293132328308,0.9499159663865546,D004,positive_bias,"{""bias"": 1.0, ""method"": ""positive_bias""}",True,True,3,True
0.035078633297967676,0.9624267493967598,0.011725293132328308,0.9384873949579832,D004,target_prototype_fusion,"{""cosine_threshold"": 0.7, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.03400454090603877,0.9613526570048309,0.011725293132328308,0.9364705882352942,D004,target_prototype_fusion,"{""cosine_threshold"": 0.75, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.03256895370079327,0.9599170697995854,0.011725293132328308,0.933781512605042,D004,target_prototype_fusion,"{""cosine_threshold"": 0.8, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.033219161659769014,0.9605672777585611,0.010050251256281407,0.9334453781512605,D004,target_prototype_fusion,"{""cosine_threshold"": 0.85, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.033623262912482965,0.960971379011275,0.006700167504187605,0.9310924369747899,D004,target_prototype_fusion,"{""cosine_threshold"": 0.9, ""method"": ""target_prototype_fusion""}",True,False,3,True
0.0,0.9305135951661632,0.0,0.8700564971751412,D004,no_adaptation,"{""method"": ""no_adaptation""}",True,False,5,False
0.0021497214167514045,0.9326633165829146,0.0,0.8738229755178908,D004,target_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9305135951661632,0.0,0.8700564971751412,D004,stage1_threshold_calibration,"{""margin"": 0.0, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03266469940748018,0.9631782945736433,0.006756756756756757,0.935969868173258,D004,target_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
0.0,0.9305135951661632,0.0,0.8700564971751412,D004,stage1_threshold_calibration,"{""margin"": 0.02, ""max_threshold_drop"": 0.05, ""method"": ""stage1_threshold_calibration""}",True,False,5,True
0.03487102021845212,0.9653846153846153,0.011824324324324325,0.9453860640301318,D004,target_threshold_calibration,"{""margin"": 0.05, ""max_threshold_drop"": 0.05, ""method"": ""target_threshold_calibration""}",True,False,5,True
